Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
FARMEDICAL,8806421044027,ANTIACIDO,ALGINATO DE SODIO BICARBONATO DE SODIO,GASTROZID GEL MENTA CAJA X 4 SACHET,8806421044027
RECALCINE,8886451005014,suplemento,VITAMINAS,PEDIASURE CHOCOLATE LATA X 850 G,8886451005014
FARMEDICAL,8901067054871,HIPOGLICEMIANTE,INSULINA LECHOSA,GLINUX N INSULINA LECHOSA 100 UI/ML VIAL X 10 ML,8901067054871
FARMEDICAL,8901252955679,ANTIULCEROSO,PANTOPRAZOL DOMPERIDONA,GASTROZAC D CAJA X 30 CAPSULAS,8901252955679
SAN FERNANDO,8902281000279,ELIMINA PARÁSITOS INTESTINALES,ALBENDAZOL,ABZ CAJA X 1 COMPRIMIDO,8902281000279
SAN FERNANDO,8902281001078,ELIMINA PARÁSITOS INTESTINALES,ALBENDAZOL,ABZ SUSPENCION FCO X 10 ML,8902281001078
EFARMA,8902382331241,ANTIBACTERIANO,LEVOFLOXACINA,BACTIFIN 500 MG LEVOFLOXACINA CAJA X 20 COMPRIMIDOS,8902382331241
LAQFAGAL,8902445000046,ACICLOVIR,ACICLOVIR,ACYCLO 200 MG CAJA X 100 COMPRIMIDOS,8902445000046
LAQFAGAL,8902445006529,ANTIINFLAMATORIO ESTEROIDEO,PREDNISONA 20 MG,PREDVARD 20 MG CAJA X 100 COMPRIMIDOS,8902445006529
LAQFAGAL,8902445006604,HIPOGLICEMIANTE,METFORMINA 850 MG,VARDAMIN 850 CAJA X 100 COMPRIMIDOS,8902445006604
LAQFAGAL,8902445007632,ANTIVIRAL DE AMPLIO ESPECTRO,ACICLOVIR,ACYCLO 400 MG CAJA X 100 COMPRIMIDOS,8902445007632
LAQFAGAL,8902445008066,ANTIULCEROSO,RANITIDINA 300 MG,RANIGAL 300 MG RANITIDINA CAJA X 100 COMPRIMIDOS,8902445008066
LAQFAGAL,8902445008592,HIPOLIPEMIANTE,ATORVASTATINA 20 MG,ATORVARD ATORVASTATINA 20 MG CAJA X 10 COMPRIMIDOS,8902445008592
LAQFAGAL,8902445008769,ANTIMICOTICO,CLOTRIMAZOL 1 %,GYNAVARD 1 % CREMA TBO X 30 GR,8902445008769
LAQFAGAL,8902445009162,ANTIVIRAL TÓPICO,ACICLOVIR,ACYCLO DERMAL ACIVLOVIR CREMA TBO X 5 GR,8902445009162
LAQFAGAL,8902445012759,ANTIGOTOSO,COLCHICINA 0.5 MG,COLCHIVARD 0.5 MG COLCHICINA CAJA X 100 COMPRIMIDOS,8902445012759
LAQFAGAL,8902445013442,REDUCTOR DE LA PRESION ARTERIAL,AMLODIPINO 10 MG,AMLOVARD AMLODIPINO 10 MG CAJA X 10 COMPRIMIDOS,8902445013442
LAQFAGAL,8902445014739,ANALGESICO ANTIINFLAMATORIO,DICLOFENACO 1.16 %,VARNGEL GEL TUBO X 50 GR,8902445014739
SANAT,8904073006711,ANTIHISTAMINICO,LEVOCETIRIZINA 5 MG,LEVOCETIRIZINA 5 MG CAJA X 100 COMPRIMIDOS,8904073006711
SANAT,8904306500405,ANTIPARASITARIO,ALBENDAZOL 400 MG,ALBENDAZOL 400 MG X 1 COMPRIMIDO,8904306500405
SANAT,8904306500801,DISFUNCION ERECTIL,SILDENAFIL 100 MG,SANAVIRIL 100 MG CAJA X 4 COMPRIMIDOS,8904306500801
SANAT,8904306500825,ANTIALERGICO,CETIRIZINA 10 MG,CETIRIZINA 10 MG CAJA X 100 COMPRIMIDOS,8904306500825
SANAT,8904306501877,ANALGESICO,TRAMADOL 100 MG,TRAMADOL 100 MG X 10 CAPSULAS,8904306501877
FARMEDICAL,8905013000301,ANALGÉSICO ANTIINFLAMATORIO,"DICLOFENACO DIETILAMINA, METILSALICILATO",ALIVIOL SPRAY FCO X 100 ML,8905013000301
FARMEDICAL,8905013001964,ANTIBACTERIANO,LINEZOLID 600 MG EST X 10 COMPRIMIDOS,LINEZOLID 600 MG CAJA X 10 COMPRIMIDOS,8905013001964
PROMEDICAL,8906003879693,ANTINEOPLASICO,TAMSULOSINA LP 0.4 MG,TAMSULOSINA LP 0.4 MG CAJA X 30 CAPSULAS,8906003879693
FARMEDICAL,8906041846619,CORTICOIDE-ANTIINFLAMTORIO,CLOBETASOL,BETASOL 0.05% CREMA DERMICA TUBO X 25 G,8906041846619
FARMEDICAL,8906041846961,ANALGÉSICO ANTIINFLAMATORIO,DICLOFENACO + ACEITE DE LINAZA + METILSALICILATO + MENTOL,ALIVIOL GEL 1% TUBO X 50 GR,8906041846961
FARMEDICAL,8906041849238,CORTICOIDE,CLOBETASOL,BETASOL 0.05% LOCION FCO X 30 ML,8906041849238
FARMEDICAL,8906041849870,ANALGÉSICO ANTIINFLAMATORIO,DICLOFENACO + ACEITE DE LINAZA + METILSALICILATO + MENTOL,ALIVIOL GEL 1% TUBO X 30 GR,8906041849870
FARMEDICAL,8906063981824,ANALGÉSICO ANTIINFLAMATORIO,"DICLOFENACO, PARACETAMOL",ALIVIOL PLUS CAJA X 100 COMPRIMIDOS,8906063981824
FARMEDICAL,8906063987444,"ANALGÉSICO, ANTIPIRÉTICO Y ANTIHISTAMÍNICO",CLORFENAMINA; DEXTROMETORFANO; FENILEFRINA,ALIVIOL ANTIGRIPAL CAPSULA GRANULADA CAJA X 100,8906063987444
DIST. SEBASTIAN,8906101413713,CORTICOESTEROIDE,BETAMETASONA,BETAMETASONA 4 MG CAJA X 10 AMPOLLAS,8906101413713
FARMEDICAL,8906104080424,ANTINEUROPATICO,PREGABALINA,GANEUM 50 MG PREGABALINA 50 MG CAJA X 30 CAPSULAS,8906104080424
FARMEDICAL,8906104081919,ANTIINFLAMATORIO,SALICILATO DE METILO DICLOFENACO MENTOL,ALIVIOL GEL FORTE 2% TUBO X 60 GR,8906104081919
FARMEDICAL,8906114851823,ANALGESICO,PARACETAMOL 1G,DILOR RAPID PARACETAMOL 1 GR CAJA X 16 COMPRIMIDOS EFERVESCENTES,8906114851823
DR MEDINAT,8908014106195,PRODUCTOS TÓPICO INFECCIONES VIRALES.,ACICLOVIR,ACICLOVIR 5% CREMA TUBO X 5 G,8908014106195
INSUMOS,9,INTA MEDICA ANTIALERGENICA OPTIMED COLOR PIEL 1.25 CM- 2.50 CM- 5 CM,INTA MEDICA ANTIALERGENICA OPTIMED COLOR PIEL 1.25 CM- 2.50 CM- 5 CM,CINTA MEDICA ANTIALERGENICA OPTIMED COLOR PIEL 1.25 CM,9
IFARBO,951357,ANALGÉSICO Y ANTIPIRÉTICO,PARACETAMOL ACETAMINOFÉN,ACETAMOL PARACETAMOL 120 MG JARABE FCO X 70 ML,951357
